Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;;Querkräfte [kN/m];;Normalkräfte [kN/m];;;
;;;;;0.31;-1.98;-33.01;0.25;0.72;-67.95;-37.95;-175.41;-51.65;12.34
306;1;1.550;-0.550;-3.622;1.70;-0.15;84.59;1.36;4.54;113.54;122.47;-19.38;48.60;66.82
;;;;;0.25;-1.73;-32.13;0.23;0.77;-69.12;-46.38;-177.88;-49.58;12.55
307;1;1.550;-0.650;-3.637;1.54;-0.16;84.10;1.16;4.31;105.02;120.39;33.38;73.52;64.19
;;;;;-0.22;-1.47;-31.61;0.21;0.79;-69.52;-53.89;-180.21;-45.59;11.71
308;1;1.550;-0.750;-3.652;1.36;-0.17;89.01;1.09;4.09;98.59;119.28;40.68;43.65;65.97
;;;;;-0.20;-1.22;-72.53;0.19;0.80;-68.42;-58.53;-178.27;-59.73;11.86
309;1;1.550;-0.850;-3.668;1.21;-0.18;88.11;1.06;3.85;93.82;118.86;44.85;44.10;71.46
;;;;;-0.23;-0.98;-89.26;0.17;0.82;-69.03;-64.25;-173.12;-48.28;12.36
310;1;1.550;-0.950;-3.683;1.30;-0.20;89.98;1.07;3.66;91.41;119.07;48.07;44.80;77.20
;;;;;-0.28;-0.93;-82.79;0.14;0.84;-70.49;-69.09;-165.69;-41.88;16.46
311;1;1.550;-1.050;-3.698;1.42;-0.22;89.34;1.12;3.45;90.31;119.55;50.51;45.81;83.15
;;;;;-0.37;-0.92;-84.96;0.12;0.85;-71.80;-73.11;-156.71;-36.40;13.01
312;1;1.550;-1.150;-3.714;1.57;-0.24;80.30;1.20;3.35;94.90;120.04;52.16;47.19;89.24
;;;;;-0.40;-0.97;-89.47;0.09;0.85;-72.92;-76.31;-146.88;-31.28;13.18
313;1;1.550;-1.250;-3.729;1.73;-0.28;82.87;1.31;3.27;100.83;119.90;52.98;48.96;95.23
;;;;;-0.43;-1.03;-82.70;0.07;0.83;-74.18;-78.47;-136.68;-32.54;13.26
314;1;1.550;-1.350;-3.744;1.89;-0.32;85.09;1.42;3.14;105.38;118.43;53.03;51.29;100.79
;;;;;-0.50;-1.12;-76.77;0.08;0.80;-75.92;-79.47;-126.61;-34.87;15.46
315;1;1.550;-1.450;-3.760;2.05;-0.36;86.94;1.53;3.00;108.71;115.16;52.39;54.57;105.64
;;;;;-0.58;-1.22;-69.92;0.09;0.77;-78.57;-79.14;-117.26;-35.44;13.15
316;1;1.550;-1.550;-3.775;2.21;-0.41;88.58;1.66;2.84;111.01;109.45;51.16;59.90;109.41
;;;;;-0.66;-1.34;-61.42;0.10;0.74;-82.41;-77.23;-109.46;-35.26;15.89
317;1;1.550;-1.650;-3.790;2.36;-0.45;89.97;1.79;2.86;111.84;100.26;49.43;70.88;111.74
;;;;;-0.73;-1.46;-87.45;0.14;0.68;-89.65;-74.02;-123.57;-34.65;15.92
318;1;1.550;-1.750;-3.805;2.51;-0.49;85.62;1.92;2.84;165.88;92.32;47.27;32.91;112.43
;;;;;-0.81;-1.59;-89.31;0.16;0.65;-106.32;-72.84;-138.44;-83.21;15.95
319;1;1.550;-1.850;-3.821;2.64;-0.53;65.43;2.04;2.79;119.68;93.60;44.73;33.35;111.27
;;;;;-0.84;-1.72;-88.53;0.18;0.63;-134.98;-64.94;-154.33;-59.06;16.00
320;1;1.550;-1.950;-3.836;2.76;-0.57;67.80;2.17;2.73;124.66;94.48;41.83;32.81;107.85
;;;;;-0.92;-1.85;-87.95;0.20;0.57;-170.53;-57.84;-171.54;-48.60;16.07
321;1;1.650;-0.050;-3.570;2.38;0.19;83.20;2.12;5.01;166.71;145.85;-38.87;73.31;93.21
;;;;;0.37;-2.01;-88.21;0.24;0.53;-167.14;-9.48;-193.29;-75.05;17.55
322;1;1.650;-0.150;-3.585;1.95;0.16;81.80;1.89;4.64;163.86;139.85;-37.68;59.52;80.21
;;;;;0.36;-1.94;-89.85;0.30;0.54;-161.78;-15.91;-174.47;-86.44;17.21
323;1;1.650;-0.250;-3.599;1.73;0.14;80.21;1.80;5.12;171.77;136.83;-28.10;52.21;78.30
;;;;;0.34;-1.93;-89.94;0.24;0.41;-51.92;-23.64;-178.10;-86.80;13.03
324;1;1.650;-0.350;-3.614;1.69;-0.15;88.16;1.68;4.78;158.14;133.66;-24.78;70.89;74.43
;;;;;0.31;-1.83;-86.17;0.25;0.61;-179.30;-30.32;-177.38;-55.48;12.77
325;1;1.650;-0.450;-3.629;1.62;-0.16;85.41;1.50;4.50;160.84;130.00;-21.47;46.82;68.25
;;;;;0.26;-1.62;-87.22;0.24;0.70;-95.39;-35.97;-170.68;-53.03;11.81
326;1;1.650;-0.550;-3.643;1.49;-0.17;89.26;1.30;4.29;170.34;126.68;-19.08;60.12;67.83
;;;;;0.19;-1.39;-88.44;0.22;0.73;-175.96;-40.73;-174.84;-51.80;11.45
327;1;1.650;-0.650;-3.658;1.38;0.18;83.13;1.17;4.07;102.22;124.24;25.74;45.18;65.27
;;;;;-0.16;-1.15;-32.08;0.20;0.76;-67.24;-46.49;-177.03;-47.71;11.56
328;1;1.650;-0.750;-3.673;1.38;-0.19;88.29;1.11;3.90;97.11;122.77;30.16;45.13;64.78
;;;;;-0.18;-0.93;-31.56;0.18;0.79;-67.68;-52.83;-175.23;-45.05;11.69
329;1;1.650;-0.850;-3.687;1.43;-0.21;87.24;1.09;3.79;94.79;121.79;33.93;45.41;69.71
;;;;;-0.25;-0.85;-89.86;0.15;0.81;-68.52;-58.33;-170.17;-42.46;11.78
330;1;1.650;-0.950;-3.702;1.52;-0.22;88.90;1.11;3.62;93.26;121.31;37.15;45.96;74.95
;;;;;-0.34;-0.89;-86.16;0.13;0.83;-69.22;-63.03;-162.94;-40.22;15.84
331;1;1.650;-1.050;-3.717;1.65;-0.25;88.10;1.16;3.42;91.40;121.05;39.78;46.79;80.43
;;;;;-0.38;-0.94;-85.29;0.11;0.83;-68.79;-66.91;-154.16;-37.65;16.31
332;1;1.650;-1.150;-3.731;1.79;-0.27;88.74;1.24;3.27;89.70;120.74;41.76;47.85;85.98
;;;;;-0.42;-1.00;-89.61;0.10;0.82;-69.02;-69.83;-144.44;-36.49;16.26
333;1;1.650;-1.250;-3.746;1.94;-0.31;81.79;1.34;3.13;95.87;119.61;43.10;49.13;91.35
;;;;;-0.48;-1.07;-81.39;0.08;0.80;-69.39;-71.74;-134.27;-39.72;16.18
334;1;1.650;-1.350;-3.761;2.09;-0.35;83.93;1.44;3.00;100.89;117.06;43.81;50.68;96.27
;;;;;-0.56;-1.14;-73.27;0.06;0.77;-70.10;-72.56;-124.22;-40.32;16.05
335;1;1.650;-1.450;-3.775;2.24;-0.40;85.74;1.56;3.12;104.88;112.40;43.92;52.58;100.44
;;;;;-0.64;-1.22;-64.39;0.08;0.75;-71.39;-72.15;-114.81;-40.12;15.85
336;1;1.650;-1.550;-3.790;2.39;-0.60;87.28;1.68;3.21;107.94;104.88;43.48;55.03;103.50
;;;;;-0.72;-1.30;-66.75;0.06;0.88;-74.01;-70.32;-106.53;-39.52;18.42
337;1;1.650;-1.650;-3.805;2.53;-0.65;88.71;1.80;3.24;110.27;94.38;42.55;58.54;105.08
;;;;;-0.80;-1.38;-71.41;0.09;0.86;-78.70;-68.46;-116.03;-38.70;16.63
338;1;1.650;-1.750;-3.820;2.66;-0.53;89.93;1.93;3.19;114.92;90.62;41.16;65.33;104.83
;;;;;-0.86;-1.48;-72.16;0.16;0.65;-91.66;-64.08;-130.70;-37.69;16.18
339;1;1.650;-1.850;-3.834;2.77;-0.57;63.08;2.05;3.08;121.14;91.54;39.36;29.60;102.60
;;;;;-0.88;-1.62;-89.35;0.18;0.62;-159.08;-62.35;-146.23;-83.04;16.33
340;1;1.650;-1.950;-3.849;2.87;-0.60;65.54;2.17;2.93;165.76;92.10;37.17;28.78;98.42
;;;;;-0.97;-1.76;-88.56;0.20;0.59;-152.40;-56.19;-162.97;-42.68;16.49
341;1;1.750;-0.050;-3.595;2.39;0.18;84.62;2.01;4.51;172.82;145.87;-36.10;80.35;87.89
;;;;;0.37;-1.88;-87.95;0.23;0.56;-166.65;-10.59;-186.37;-73.98;16.06
342;1;1.750;-0.150;-3.609;2.14;0.16;83.44;1.84;3.08;173.02;141.38;-32.18;60.67;76.64
;;;;;0.34;-1.76;-87.65;0.23;0.47;-173.30;-15.29;-167.34;-82.39;15.08
343;1;1.750;-0.250;-3.623;1.98;0.14;82.21;1.74;4.17;178.57;139.12;-26.67;88.83;74.75
;;;;;0.31;-1.65;-83.61;0.22;0.52;-170.49;-23.88;-171.82;-88.21;12.20
344;1;1.750;-0.350;-3.637;1.87;-0.16;80.19;1.63;4.27;179.44;136.82;-23.60;72.17;70.89
;;;;;0.27;-1.53;-88.51;0.22;0.63;-174.11;-31.47;-172.07;-56.36;11.29
345;1;1.750;-0.450;-3.651;1.75;-0.18;89.69;1.45;4.09;167.92;133.27;-20.90;48.23;69.33
;;;;;0.22;-1.33;-88.49;0.22;0.68;-177.22;-37.92;-165.67;-54.51;11.26
346;1;1.750;-0.550;-3.665;1.66;-0.19;85.41;1.30;3.97;146.95;129.79;-18.78;47.06;68.72
;;;;;0.14;-1.10;-83.40;0.20;0.72;-144.96;-43.34;-171.75;-52.49;11.20
347;1;1.750;-0.650;-3.679;1.61;0.23;82.22;1.20;3.94;98.55;127.14;-17.36;46.43;66.18
;;;;;-0.13;-0.89;-89.38;0.18;0.77;-103.97;-47.92;-173.78;-50.37;11.87
348;1;1.750;-0.750;-3.693;1.63;0.25;87.69;1.15;3.86;95.82;125.50;19.53;46.21;63.00
;;;;;-0.18;-0.91;-31.79;0.16;0.80;-70.12;-51.71;-172.01;-48.18;11.61
349;1;1.750;-0.850;-3.707;1.68;0.24;89.74;1.13;3.74;94.27;124.21;23.36;46.34;67.46
;;;;;-0.27;-0.94;-85.64;0.14;0.82;-70.73;-54.25;-167.05;-45.97;11.78
350;1;1.750;-0.950;-3.721;1.77;-0.25;87.89;1.15;3.59;93.01;123.33;26.67;46.72;72.25
;;;;;-0.33;-0.99;-86.10;0.12;0.81;-69.54;-57.61;-159.94;-43.81;12.76
351;1;1.750;-1.050;-3.735;1.89;-0.27;86.83;1.21;3.46;91.21;122.51;29.44;47.30;77.26
;;;;;-0.39;-1.04;-82.82;0.11;0.81;-66.53;-61.23;-151.27;-45.52;16.05
352;1;1.750;-1.150;-3.749;2.02;-0.30;88.65;1.28;3.34;89.50;121.27;31.67;48.04;82.29
;;;;;-0.46;-1.10;-88.87;0.09;0.79;-64.49;-63.89;-141.60;-46.53;16.42
353;1;1.750;-1.250;-3.763;2.15;-0.34;82.94;1.37;3.23;91.40;119.28;33.37;48.90;87.12
;;;;;-0.55;-1.16;-75.98;0.06;0.76;-63.74;-65.56;-131.51;-46.04;16.52
354;1;1.750;-1.350;-3.777;2.29;-0.39;83.29;1.47;3.25;96.60;115.81;34.54;49.86;91.48
;;;;;-0.63;-1.23;-58.26;0.05;0.73;-63.06;-66.17;-121.56;-45.33;16.91
355;1;1.750;-1.450;-3.791;2.43;-0.50;84.97;1.57;3.43;101.10;110.13;35.20;50.86;95.05
;;;;;-0.70;-1.31;-55.43;0.07;0.91;-62.52;-65.58;-112.23;-44.50;17.76
356;1;1.750;-1.550;-3.805;2.57;-0.57;86.46;1.69;3.54;104.83;101.47;35.38;51.80;97.48
;;;;;-0.77;-1.39;-71.56;0.10;0.88;-62.23;-63.64;-103.99;-43.58;18.51
357;1;1.750;-1.650;-3.820;2.69;-0.64;87.82;1.81;3.56;107.87;89.02;35.09;52.41;98.39
;;;;;-0.84;-1.47;-75.18;0.12;0.97;-62.89;-60.95;-108.04;-42.57;22.94
358;1;1.750;-1.750;-3.834;2.81;-0.72;89.07;1.93;3.50;112.74;89.53;-34.51;51.79;97.41
;;;;;-0.88;-1.55;-75.15;0.15;0.93;-66.38;-59.54;-122.48;-41.47;23.59
359;1;1.750;-1.850;-3.848;2.91;-0.62;60.67;2.05;3.36;118.58;90.11;33.23;45.15;95.05
;;;;;-0.91;-1.64;-89.92;0.13;0.63;-76.87;-56.41;-137.80;-40.25;16.57
360;1;1.750;-1.950;-3.862;2.99;-0.63;63.21;2.16;3.14;161.36;90.36;31.70;24.10;98.57
;;;;;-1.00;-1.71;-88.95;0.20;0.58;91.49;-53.16;-154.25;-38.91;16.82
361;1;1.850;-0.050;-3.619;2.44;0.16;86.49;1.95;4.41;179.40;145.15;-39.48;70.90;82.18
;;;;;0.37;-1.79;-86.11;0.30;0.79;-159.57;-15.40;-179.75;-75.87;17.41
362;1;1.850;-0.150;-3.633;2.32;0.16;85.79;1.83;2.84;177.32;142.58;-33.30;61.29;74.24
;;;;;0.33;-1.62;-83.15;0.28;0.77;-175.94;-13.93;-161.74;-86.08;15.24
363;1;1.850;-0.250;-3.646;2.21;0.13;85.10;1.70;3.11;178.09;140.47;-28.79;89.73;71.90
;;;;;0.28;-1.44;-81.15;0.24;0.79;-179.33;-23.40;-166.23;-88.27;14.17
364;1;1.850;-0.350;-3.660;2.12;-0.17;83.63;1.60;3.59;179.00;138.67;-22.61;70.97;68.79
;;;;;0.24;-1.28;-85.20;0.20;0.67;-179.06;-31.80;-166.80;-57.33;10.69
365;1;1.850;-0.450;-3.673;2.00;-0.19;82.65;1.46;3.61;159.86;135.29;-20.33;49.46;70.34
;;;;;0.18;-1.07;-85.84;0.21;0.70;-177.52;-39.01;-162.37;-56.09;10.78
366;1;1.850;-0.550;-3.686;1.90;-0.20;85.25;1.33;3.63;107.27;131.87;-18.50;48.14;69.44
;;;;;0.10;-0.92;-88.67;0.19;0.75;-149.21;-45.19;-168.62;-54.65;19.62
367;1;1.850;-0.650;-3.700;1.86;0.26;85.78;1.24;3.75;101.80;129.18;-17.30;47.37;66.79
;;;;;-0.10;-0.96;-87.96;0.17;0.79;-172.58;-50.61;-170.42;-53.04;11.31
368;1;1.850;-0.750;-3.713;1.88;0.33;87.27;1.20;3.77;98.03;127.49;-16.55;47.02;62.75
;;;;;-0.17;-1.00;-89.05;0.15;0.81;-90.49;-55.32;-168.57;-51.32;12.27
369;1;1.850;-0.850;-3.727;1.94;0.35;89.55;1.19;3.64;92.94;126.07;-16.10;46.99;64.63
;;;;;-0.24;-1.04;-85.66;0.13;0.81;-72.48;-58.94;-163.62;-49.52;11.82
370;1;1.850;-0.950;-3.740;2.02;0.33;87.13;1.20;3.54;91.91;124.91;16.70;60.45;69.01
;;;;;-0.34;-1.09;-85.56;0.12;0.80;-69.27;-59.33;-156.52;-47.70;12.58
371;1;1.850;-1.050;-3.754;2.13;-0.29;79.14;1.25;3.45;91.03;123.65;19.63;47.50;73.58
;;;;;-0.43;-1.14;-82.47;0.10;0.79;-66.43;-56.16;-147.86;-63.37;15.70
372;1;1.850;-1.150;-3.767;2.24;-0.31;87.25;1.31;3.36;89.95;121.88;22.11;47.93;78.17
;;;;;-0.52;-1.20;-69.50;0.07;0.77;-63.25;-58.61;-138.26;-54.42;16.52
373;1;1.850;-1.250;-3.780;2.37;0.41;83.63;1.39;3.28;89.05;119.10;24.13;48.43;82.54
;;;;;-0.60;-1.26;-67.86;0.06;0.75;-59.79;-60.06;-128.29;-51.63;16.80
374;1;1.850;-1.350;-3.794;2.50;0.47;84.25;1.48;3.52;93.22;114.76;-28.75;48.90;86.43
;;;;;-0.68;-1.33;-50.46;0.07;0.92;-56.05;-60.44;-118.48;-49.96;17.01
375;1;1.850;-1.450;-3.807;2.63;0.50;84.61;1.59;3.71;97.67;108.24;-30.15;49.23;89.50
;;;;;-0.75;-1.41;-56.95;0.09;0.90;-51.99;-59.62;-109.34;-48.64;17.78
376;1;1.850;-1.550;-3.821;2.75;-0.61;85.98;1.69;3.82;102.43;98.64;-29.82;49.18;91.39
;;;;;-0.81;-1.49;-75.29;0.10;0.87;-50.12;-57.46;-101.30;-47.46;18.64
377;1;1.850;-1.650;-3.834;2.87;-0.73;87.29;1.81;3.84;107.79;88.35;-34.13;48.24;91.72
;;;;;-0.86;-1.56;-78.42;0.13;0.86;-49.78;-54.34;-102.91;-46.30;22.17
378;1;1.850;-1.750;-3.848;2.97;-0.86;88.53;1.92;3.77;110.27;88.95;-35.27;45.15;90.09
;;;;;-0.90;-1.64;-78.24;0.16;0.91;-49.82;-52.71;-113.80;-45.12;24.83
379;1;1.850;-1.850;-3.861;3.06;-0.72;89.74;2.04;3.61;116.68;89.22;-35.59;36.59;95.53
;;;;;-0.94;-1.71;-76.77;0.20;0.87;-50.29;-49.78;-128.86;-43.87;25.53
380;1;1.850;-1.950;-3.875;3.12;-0.75;60.79;2.14;3.35;123.58;89.18;-35.29;20.24;98.94
;;;;;-1.02;-1.78;-89.12;0.14;0.83;83.70;-46.61;-145.02;-42.53;26.09
381;1;1.950;-0.050;-3.644;2.49;-0.20;88.61;1.92;4.48;179.61;144.17;-36.76;69.66;76.88
;;;;;0.37;-1.71;-84.31;0.29;1.05;-177.30;-21.36;-173.77;-78.11;16.05
382;1;1.950;-0.150;-3.657;2.45;0.13;88.34;1.83;3.16;179.86;142.93;-31.41;89.46;72.85
;;;;;0.32;-1.49;-81.57;0.27;0.97;-179.89;-19.46;-157.07;-81.11;14.35
383;1;1.950;-0.250;-3.670;2.40;0.12;88.26;1.73;2.69;178.56;141.04;-27.44;88.06;69.99
;;;;;0.26;-1.27;-83.59;0.25;0.95;-179.63;-21.90;-161.53;-59.04;13.60
384;1;1.950;-0.350;-3.682;2.34;-0.17;87.50;1.64;2.96;179.71;139.24;23.66;67.89;70.40
;;;;;0.20;-1.07;-82.84;0.19;0.73;-169.39;-31.05;-161.75;-58.41;10.35
385;1;1.950;-0.450;-3.695;2.23;-0.19;89.27;1.51;3.18;106.13;136.14;22.62;50.38;71.25
;;;;;0.14;-0.93;-82.82;0.19;0.75;-176.24;-39.02;-159.80;-57.75;16.31
386;1;1.950;-0.550;-3.708;2.15;-0.21;86.62;1.39;3.41;101.98;133.01;20.52;48.97;69.98
;;;;;0.07;-0.98;-88.20;0.17;0.79;-162.31;-46.01;-165.47;-56.87;17.99
387;1;1.950;-0.650;-3.721;2.13;0.30;80.94;1.31;3.52;99.01;130.47;17.36;48.12;67.11
;;;;;-0.10;-1.03;-88.24;0.16;0.81;-169.65;-52.24;-166.94;-55.77;11.29
388;1;1.950;-0.750;-3.734;2.15;0.39;87.16;1.26;3.53;96.38;128.71;-16.68;47.94;62.94
;;;;;-0.20;-1.08;-86.72;0.14;0.81;-105.29;-57.74;-164.80;-54.53;11.63
389;1;1.950;-0.850;-3.746;2.20;0.44;89.40;1.25;3.49;93.91;127.30;-16.35;54.11;61.16
;;;;;-0.30;-1.13;-85.38;0.12;0.81;-83.67;-62.43;-159.75;-53.19;12.75
390;1;1.950;-0.950;-3.759;2.27;0.46;87.07;1.26;3.44;90.90;125.98;-16.20;75.40;65.16
;;;;;-0.40;-1.18;-77.07;0.10;0.79;-74.54;-64.39;-152.57;-51.76;13.96
391;1;1.950;-1.050;-3.772;2.37;0.43;81.98;1.29;3.38;90.75;124.47;-16.54;47.48;69.36
;;;;;-0.49;-1.24;-82.06;0.08;0.78;-67.99;-51.68;-143.91;-71.53;13.77
392;1;1.950;-1.150;-3.785;2.47;0.42;85.61;1.35;3.33;90.42;122.38;-17.03;47.65;73.59
;;;;;-0.58;-1.30;-68.13;0.08;0.76;-63.89;-53.97;-134.39;-60.82;16.08
393;1;1.950;-1.250;-3.798;2.59;0.50;82.44;1.42;3.50;89.71;119.19;-23.36;47.81;77.61
;;;;;-0.65;-1.37;-54.66;0.09;0.94;-60.35;-55.23;-124.56;-56.67;17.07
394;1;1.950;-1.350;-3.810;2.71;0.58;85.16;1.50;3.75;90.55;114.29;-24.61;47.85;81.14
;;;;;-0.72;-1.44;-48.80;0.10;0.91;-56.63;-55.38;-114.96;-54.30;17.62
395;1;1.950;-1.450;-3.823;2.83;0.60;85.67;1.60;3.93;95.14;106.98;-30.34;47.61;83.83
;;;;;-0.78;-1.51;-57.59;0.11;0.88;-54.31;-54.30;-106.09;-52.61;18.31
396;1;1.950;-1.550;-3.836;2.94;0.54;86.52;1.70;4.04;100.11;96.54;-30.42;46.78;85.31
;;;;;-0.83;-1.59;-79.38;0.13;0.86;-52.38;-51.83;-98.52;-51.20;19.12
397;1;1.950;-1.650;-3.849;3.05;-0.55;87.04;1.81;4.06;105.53;88.44;-28.64;44.76;85.16
;;;;;-0.87;-1.66;-81.99;0.15;0.83;-50.74;-48.57;-104.27;-49.92;19.99
398;1;1.950;-1.750;-3.862;3.14;-0.68;88.34;1.92;3.99;111.51;88.74;-35.37;40.38;89.74
;;;;;-0.91;-1.73;-80.88;0.17;0.82;-49.32;-46.65;-110.41;-48.68;24.09
399;1;1.950;-1.850;-3.875;3.21;-0.83;89.61;2.02;3.83;114.42;88.75;-36.39;31.80;95.61
;;;;;-0.96;-1.79;-79.58;0.20;0.85;-48.12;-43.84;-119.52;-47.41;26.83
400;1;1.950;-1.950;-3.887;3.26;-0.98;58.27;2.12;3.55;122.08;88.45;-36.19;19.32;98.96
;;;;;-1.03;-1.84;-89.18;0.23;0.81;72.05;-40.38;-135.28;-46.07;27.47
401;1;0.200;-2.200;-3.723;3.67;1.28;86.61;1.55;10.48;160.38;163.51;-36.37;49.71;133.21
;;;;;0.33;-1.92;-70.64;0.27;1.31;-151.72;-18.08;-143.07;-52.13;14.79
402;1;0.200;-2.600;-3.818;6.37;4.94;16.29;1.64;16.73;154.23;231.89;-41.42;58.46;170.58
;;;;;-0.59;-1.82;-67.13;0.28;1.89;-151.64;-15.13;-145.49;-52.99;22.15
403;1;0.200;-3.000;-3.912;9.75;6.99;70.41;1.84;22.51;166.54;266.13;-51.30;79.17;335.31
;;;;;-1.09;-1.82;-84.79;0.43;4.02;-171.64;72.06;-435.86;-51.73;61.68
404;1;0.200;-3.400;-4.008;11.72;6.61;74.39;2.55;26.78;178.99;224.33;-34.04;89.07;615.80
;;;;;-1.27;-2.08;-61.36;0.38;4.79;-179.87;186.00;-1007.27;-48.43;110.02
405;1;0.200;-3.800;-4.102;6.68;2.15;85.45;2.94;32.00;113.19;400.53;-12.88;86.13;874.83
;;;;;-0.59;-1.29;-89.99;0.35;5.17;-168.92;124.19;-1624.96;-85.37;173.97
406;1;0.600;-2.200;-3.767;3.16;-0.38;15.45;1.84;8.28;175.11;127.07;-18.31;31.08;165.16
;;;;;-0.22;-2.02;-82.88;0.22;0.88;-163.45;-28.70;-215.52;-58.16;12.30
407;1;0.600;-2.600;-3.852;4.94;1.99;84.39;2.37;12.21;154.92;129.66;-26.38;45.89;136.87
;;;;;-0.51;-2.32;-86.27;0.32;1.53;-167.71;-17.98;-272.46;-47.55;15.45
408;1;0.600;-3.000;-3.938;7.86;2.97;83.64;2.65;12.19;179.04;125.44;-16.25;77.51;277.76
;;;;;-0.78;-2.37;-75.23;0.50;1.64;-160.31;-38.86;-586.08;-46.63;48.05
409;1;0.600;-3.400;-4.023;9.59;2.30;67.61;3.65;12.99;151.19;233.35;-7.59;89.58;575.94
;;;;;-0.64;-2.25;-75.19;0.46;1.98;-161.34;48.00;-1140.71;-41.10;93.20
410;1;0.600;-3.800;-4.108;6.70;-0.79;69.67;3.79;20.89;111.77;390.23;-6.96;87.94;865.67
;;;;;-0.22;-2.19;-74.70;0.41;2.96;-144.81;78.84;-1685.84;-83.83;161.55
411;1;1.000;-2.200;-3.813;2.92;-0.51;84.40;2.27;5.46;172.08;120.88;27.54;42.06;144.62
;;;;;-0.66;-1.90;-84.73;0.26;0.75;-170.24;-48.08;-241.31;-85.14;13.51
412;1;1.000;-2.600;-3.888;3.77;-0.87;85.78;2.59;8.45;168.59;119.27;-16.16;46.70;130.17
;;;;;-1.05;-2.31;-84.05;0.47;0.93;-179.10;-97.83;-357.48;-43.76;14.89
413;1;1.000;-3.000;-3.963;5.84;1.23;80.17;2.44;8.55;179.99;125.17;-16.40;74.58;300.15
;;;;;-1.11;-2.50;-83.30;0.45;0.62;-179.13;-133.90;-725.83;-40.03;51.11
414;1;1.000;-3.400;-4.037;7.43;-0.71;64.30;3.48;7.65;169.89;243.78;8.48;86.20;589.70
;;;;;-0.77;-2.50;-81.69;0.36;0.91;-164.41;-85.66;-1255.68;-27.83;102.45
415;1;1.000;-3.800;-4.113;6.01;-0.74;75.38;4.06;14.56;177.12;378.03;2.68;86.14;863.05
;;;;;-0.19;-2.63;-81.47;0.30;1.85;-150.29;69.56;-1727.87;-85.88;155.36
416;1;1.400;-2.200;-3.858;2.92;-0.63;87.70;2.42;3.30;178.71;100.57;35.48;31.75;107.47
;;;;;-1.07;-2.16;-87.43;0.27;0.49;-179.09;-47.67;-232.38;-42.72;15.23
417;1;1.400;-2.600;-3.922;3.01;-0.69;86.89;2.53;5.17;168.03;95.89;-16.77;49.81;135.36
;;;;;-1.28;-2.26;-19.54;0.31;0.55;-145.85;-145.69;-415.51;-32.78;18.44
418;1;1.400;-3.000;-3.987;3.88;-0.76;88.55;2.01;6.13;178.24;137.55;-17.75;70.45;337.37
;;;;;-1.17;-2.35;-88.73;0.38;0.38;-173.09;-161.91;-829.78;-19.72;55.22
419;1;1.400;-3.400;-4.052;5.41;-0.43;63.37;2.98;5.87;176.36;248.00;12.20;81.66;617.23
;;;;;-0.74;-2.39;-86.15;0.25;0.75;-169.15;-112.47;-1340.75;-11.55;103.77
420;1;1.400;-3.800;-4.117;5.22;-0.49;87.66;4.05;9.75;179.51;367.40;4.30;82.93;864.57
;;;;;-0.21;-2.88;-84.07;0.27;1.00;-178.74;60.02;-1755.74;-89.10;141.45
421;1;1.800;-2.200;-3.902;3.12;-0.72;68.36;2.38;2.37;144.40;88.41;24.11;23.05;94.31
;;;;;-1.18;-1.96;-86.79;0.24;0.49;102.33;-80.18;-203.94;-36.51;17.65
422;1;1.800;-2.600;-3.957;2.62;-0.95;77.03;2.36;2.59;174.42;79.32;-17.97;50.25;142.39
;;;;;-1.26;-2.42;-88.25;0.37;0.59;-177.01;-165.23;-449.10;-14.72;22.41
423;1;1.800;-3.000;-4.012;2.01;-0.60;87.80;1.67;4.32;179.56;140.73;-15.95;65.25;364.52
;;;;;-1.08;-2.41;-15.81;0.24;0.53;-176.45;-168.95;-894.09;-16.23;53.73
424;1;1.800;-3.400;-4.068;3.76;-0.54;87.21;2.60;5.27;168.98;246.67;14.45;76.40;640.44
;;;;;-0.68;-2.17;-89.73;0.14;0.74;-178.19;-121.83;-1399.76;-15.65;93.50
425;1;1.800;-3.800;-4.122;4.58;-0.60;82.24;4.11;5.65;117.03;353.88;5.69;87.37;870.02
;;;;;-0.13;-3.65;-82.27;0.23;0.76;-173.86;50.56;-1780.73;-8.59;141.09
426;1;2.200;-0.200;-3.723;2.63;-0.12;60.65;1.77;3.95;179.75;138.92;41.94;84.57;72.57
;;;;;0.24;-1.04;-87.07;0.22;1.15;-178.85;-31.60;-151.21;-61.36;12.59
427;1;2.200;-0.600;-3.767;2.74;0.26;75.61;1.51;3.14;93.57;130.28;38.32;51.50;69.77
;;;;;-0.19;-1.14;-88.91;0.15;0.87;-164.52;-45.24;-157.37;-63.66;12.88
428;1;2.200;-1.000;-3.813;2.91;0.76;88.87;1.41;3.37;93.84;125.77;-16.88;89.77;55.48
;;;;;-0.57;-1.46;-84.97;0.13;0.77;-90.30;-54.26;-136.00;-89.30;13.90
429;1;2.200;-1.400;-3.858;3.28;0.74;85.82;1.60;4.19;95.14;111.85;-25.13;44.44;68.90
;;;;;-0.77;-1.74;-47.81;0.18;0.81;-64.80;-44.40;-99.96;-63.19;19.46
430;1;2.200;-1.800;-3.902;3.59;0.47;89.31;1.94;4.26;108.50;89.23;-31.46;26.08;92.71
;;;;;-0.97;-1.94;-88.95;0.23;0.71;-46.64;-33.32;-110.61;-56.78;24.06
