Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
410;1;0.600;-3.800;-4.108;2.27;4.33;3.52;1.05;20.63;389.99;25.50;57.56
;;;;;-1.96;-0.70;-0.68;-4.86;-3.18;-1665.85;-7.05;-187.73
411;1;1.000;-2.200;-3.813;1.20;2.87;0.45;0.68;2.41;102.83;47.01;62.09
;;;;;-1.88;-0.89;-0.29;-4.22;-3.77;-77.52;-227.31;-41.40
412;1;1.000;-2.600;-3.888;1.67;3.74;0.44;0.58;1.32;92.17;28.63;130.03
;;;;;-2.28;-1.18;-0.19;-6.95;-5.03;-228.15;-233.30;-40.98
413;1;1.000;-3.000;-3.963;1.99;5.15;1.72;0.82;1.32;123.32;12.62;158.23
;;;;;-2.47;-1.23;-0.26;-8.01;-3.07;-683.39;-180.79;-36.89
414;1;1.000;-3.400;-4.037;2.38;5.64;3.11;0.73;3.59;243.46;12.38;190.79
;;;;;-2.45;-1.08;-0.38;-6.81;-1.23;-1250.51;-127.08;-30.19
415;1;1.000;-3.800;-4.113;2.22;3.01;3.93;0.35;14.36;377.63;3.69;104.62
;;;;;-2.33;-0.48;-0.60;-3.26;-2.13;-1718.95;-42.41;-127.16
416;1;1.400;-2.200;-3.858;0.76;2.64;1.14;0.89;1.64;97.80;37.72;28.98
;;;;;-1.88;-1.11;-0.17;-1.64;-3.05;-58.64;-228.40;-54.74
417;1;1.400;-2.600;-3.922;1.09;2.90;0.81;0.85;1.22;86.26;20.86;135.23
;;;;;-2.15;-1.29;-0.22;-4.28;-3.12;-295.72;-274.25;-16.05
418;1;1.400;-3.000;-3.987;1.38;3.19;1.41;0.73;2.44;133.99;18.41;219.00
;;;;;-2.35;-1.17;-0.16;-5.94;-1.58;-753.62;-245.20;-23.31
419;1;1.400;-3.400;-4.052;1.91;3.22;2.92;0.61;2.57;245.71;18.98;249.22
;;;;;-2.38;-0.81;-0.27;-5.39;-1.40;-1314.80;-184.98;-33.68
420;1;1.400;-3.800;-4.117;1.68;1.74;4.02;0.55;9.49;367.40;7.21;189.76
;;;;;-2.29;-0.30;-0.50;-2.90;-1.50;-1755.29;-65.00;-30.99
421;1;1.800;-2.200;-3.902;0.41;2.47;1.65;2.22;0.91;87.62;27.17;17.12
;;;;;-1.66;-1.40;-0.23;-0.71;-2.16;-80.25;-203.72;-85.20
422;1;1.800;-2.600;-3.957;0.55;2.39;1.09;1.28;2.34;78.50;-16.31;142.22
;;;;;-2.16;-1.37;-0.23;-1.88;-0.94;-325.98;-299.59;-11.87
423;1;1.800;-3.000;-4.012;1.19;1.37;0.82;0.89;3.80;136.43;24.22;284.22
;;;;;-2.35;-1.19;-0.19;-4.30;-0.86;-764.36;-308.37;-31.69
424;1;1.800;-3.400;-4.068;1.84;0.81;2.54;0.85;2.24;240.81;25.80;314.75
;;;;;-2.17;-0.88;-0.19;-4.91;-1.43;-1328.96;-240.76;-40.53
425;1;1.800;-3.800;-4.122;1.01;0.44;4.11;0.83;5.17;353.33;11.69;290.14
;;;;;-2.07;-1.10;-0.43;-2.82;-3.98;-1777.06;-87.84;-43.22
426;1;2.200;-0.200;-3.723;2.55;0.57;1.06;3.19;2.12;66.17;114.69;71.83
;;;;;-0.94;-0.83;-0.98;-3.81;-2.16;-84.99;-108.36;-41.98
427;1;2.200;-0.600;-3.767;2.73;0.87;0.79;1.41;2.81;57.91;110.88;69.27
;;;;;-0.53;-0.36;-0.53;-1.85;-2.86;-88.46;-89.30;-40.08
428;1;2.200;-1.000;-3.813;2.65;1.40;0.82;1.60;2.56;45.36;103.29;49.84
;;;;;-0.82;-0.96;-0.18;0.37;-3.37;-81.37;-99.21;-51.69
429;1;2.200;-1.400;-3.858;2.27;2.03;1.47;2.00;1.80;63.44;77.48;26.31
;;;;;-1.05;-1.40;-0.18;0.24;-3.79;-62.20;-89.65;-66.25
430;1;2.200;-1.800;-3.902;1.48;2.54;1.93;3.05;0.96;73.27;33.07;10.24
;;;;;-1.27;-1.61;-0.26;-0.23;-3.10;-47.73;-79.03;-89.36
431;1;2.200;-2.200;-3.948;0.22;2.54;1.98;3.62;1.38;77.20;24.52;12.77
;;;;;-1.53;-1.56;-0.32;-0.61;-1.14;-124.49;-153.50;-93.15
432;1;2.200;-2.600;-3.993;-0.27;2.07;1.39;3.75;2.93;71.41;-18.60;138.45
;;;;;-1.79;-1.47;-0.69;-0.93;-0.69;-323.88;-313.07;-28.64
433;1;2.200;-3.000;-4.037;1.26;0.63;0.33;1.79;4.97;132.24;32.26;335.61
;;;;;-2.65;-1.27;-0.19;-2.64;-1.14;-714.04;-389.37;-39.44
434;1;2.200;-3.400;-4.082;2.09;-0.21;1.99;0.87;2.59;228.22;34.89;416.29
;;;;;-2.39;-2.10;-0.36;-4.67;-1.42;-1285.94;-311.77;-52.96
435;1;2.200;-3.800;-4.128;1.00;0.13;4.35;0.91;1.05;336.61;18.35;403.56
;;;;;-1.78;-1.82;-0.43;-2.79;-7.11;-1783.29;-122.59;-56.75
436;1;2.600;-0.200;-3.818;2.34;0.88;0.92;3.55;4.01;93.24;109.03;82.44
;;;;;-1.30;-0.65;-0.82;-4.88;-2.44;-71.72;-99.83;-24.80
437;1;2.600;-0.600;-3.852;3.32;1.63;0.60;1.61;2.94;76.92;118.91;69.94
;;;;;-0.66;-1.17;-0.42;-3.35;-2.96;-75.25;-65.83;-59.77
438;1;2.600;-1.000;-3.888;3.59;2.49;0.55;1.50;1.87;48.63;131.28;46.00
;;;;;-0.89;-1.70;-0.20;-1.69;-3.59;-63.85;-78.85;-67.04
439;1;2.600;-1.400;-3.922;3.51;3.27;1.22;1.96;0.82;64.80;132.68;21.08
;;;;;-1.06;-1.92;-0.21;-0.42;-3.74;-59.47;-75.03;-59.05
440;1;2.600;-1.800;-3.957;2.98;3.71;1.80;2.87;1.19;71.14;88.38;10.23
;;;;;-1.19;-1.85;-0.27;-0.31;-2.64;-78.18;-69.49;-51.88
441;1;2.600;-2.200;-3.993;1.76;3.34;2.06;4.30;1.34;71.56;51.17;9.92
;;;;;-1.36;-1.56;-0.57;-0.44;-0.94;-160.96;-72.24;-65.95
442;1;2.600;-2.600;-4.028;0.29;1.80;1.65;5.83;3.79;74.68;-18.72;122.39
;;;;;-1.56;-1.48;-1.47;-0.92;-1.26;-299.72;-294.56;-36.93
443;1;2.600;-3.000;-4.063;1.20;0.50;0.42;5.03;5.45;120.63;43.32;352.94
;;;;;-2.52;-2.41;-1.54;-1.07;-1.37;-601.10;-480.52;-44.53
444;1;2.600;-3.400;-4.097;2.60;0.42;1.04;0.86;3.29;205.13;45.94;535.42
;;;;;-2.99;-4.92;-0.91;-4.60;-1.57;-1162.96;-415.48;-69.01
445;1;2.600;-3.800;-4.133;1.46;0.36;4.80;0.91;0.62;313.33;28.81;534.57
;;;;;-1.49;-2.85;-0.60;-3.34;-9.26;-1764.11;-183.82;-73.15
446;1;3.000;-0.200;-3.912;1.78;1.45;0.70;2.15;4.24;119.58;81.12;96.36
;;;;;-1.30;-1.55;-0.70;-7.28;-2.93;-58.49;-75.72;-49.08
447;1;3.000;-0.600;-3.938;3.47;2.33;0.53;1.00;1.83;104.05;95.13;70.13
;;;;;-0.80;-1.99;-0.42;-4.17;-2.13;-53.46;-41.67;-74.90
448;1;3.000;-1.000;-3.963;4.16;3.32;0.61;1.36;0.39;81.09;118.84;53.89
;;;;;-0.90;-2.16;-0.25;-3.29;-2.00;-36.86;-53.09;-72.04
449;1;3.000;-1.400;-3.987;4.40;4.17;0.87;2.18;0.76;86.59;143.46;74.90
;;;;;-0.98;-2.07;-0.29;-1.41;-1.82;-15.38;-52.93;-57.74
450;1;3.000;-1.800;-4.012;4.20;4.59;1.43;2.08;0.98;82.54;139.93;80.91
;;;;;-1.19;-1.78;-0.32;-0.58;-1.40;-79.04;-51.55;-42.78
451;1;3.000;-2.200;-4.037;3.28;4.11;1.80;4.84;2.24;72.75;111.92;78.37
;;;;;-1.21;-1.35;-0.60;-0.29;-1.75;-161.47;-52.72;-31.45
452;1;3.000;-2.600;-4.063;1.33;1.92;1.67;6.69;6.16;74.65;52.81;123.93
;;;;;-1.24;-1.31;-2.25;-0.80;-1.75;-247.65;-218.77;-22.49
453;1;3.000;-3.000;-4.088;0.35;0.64;0.67;8.07;8.12;99.52;55.20;323.99
;;;;;-1.67;-3.20;-3.53;-1.22;-1.88;-423.69;-540.28;-45.03
454;1;3.000;-3.400;-4.113;3.04;0.78;0.32;4.05;3.69;164.64;69.26;628.20
;;;;;-3.32;-7.85;-1.14;-4.91;-1.73;-915.91;-605.41;-84.34
455;1;3.000;-3.800;-4.137;2.55;0.64;5.41;1.09;1.14;281.35;45.30;681.91
;;;;;-1.81;-5.24;-1.46;-4.58;-9.90;-1693.13;-299.69;-91.99
456;1;3.400;-0.200;-4.008;1.29;1.65;0.75;-0.88;0.91;147.41;38.09;97.13
;;;;;-1.17;-2.17;-0.65;-8.52;-1.63;43.02;-32.83;-59.69
457;1;3.400;-0.600;-4.023;3.36;2.26;1.21;0.53;0.39;154.17;45.30;72.57
;;;;;-0.87;-2.09;-0.52;-4.15;-1.19;41.48;-19.06;-72.99
458;1;3.400;-1.000;-4.037;4.41;3.08;1.40;1.10;1.20;163.39;58.90;67.61
;;;;;-0.78;-1.91;-0.39;-3.68;-1.99;40.31;-24.93;-62.30
459;1;3.400;-1.400;-4.052;4.92;3.84;1.37;2.10;2.22;175.57;81.22;120.19
;;;;;-1.00;-1.64;-0.45;-2.40;-2.41;37.40;-25.50;-46.76
460;1;3.400;-1.800;-4.068;4.99;4.26;1.12;2.16;3.40;175.90;104.74;167.83
;;;;;-1.21;-1.29;-0.46;-0.74;-2.54;33.73;-27.55;-31.84
461;1;3.400;-2.200;-4.082;4.38;4.04;1.33;5.06;5.50;159.30;104.96;187.17
;;;;;-1.28;-1.01;-0.44;-0.45;-2.46;-46.77;-33.13;-30.85
462;1;3.400;-2.600;-4.097;2.74;2.54;1.40;7.63;9.05;120.06;123.54;181.56
;;;;;-3.32;-0.88;-2.07;-0.89;-2.08;-86.32;-109.72;-31.26
463;1;3.400;-3.000;-4.113;0.66;0.88;0.88;8.46;11.51;69.27;61.74;273.86
;;;;;-4.18;-2.10;-5.49;-1.17;-2.49;-143.77;-516.86;-42.09
464;1;3.400;-3.400;-4.128;1.38;1.00;0.78;7.92;5.47;97.85;108.49;636.72
;;;;;-3.01;-9.36;-5.64;-6.55;-1.77;-470.49;-837.94;-88.51
465;1;3.400;-3.800;-4.142;5.09;1.14;5.22;1.46;1.71;233.08;74.89;778.05
;;;;;-2.26;-9.23;-2.09;-8.02;-13.31;-1492.56;-534.90;-105.06
466;1;3.800;-0.200;-4.102;1.01;0.78;1.00;-0.49;1.21;367.19;14.92;55.67
;;;;;-1.19;-1.10;-0.82;-7.12;-4.68;-119.54;-3.00;-34.78
467;1;3.800;-0.600;-4.108;3.21;0.96;1.69;0.39;2.24;359.61;19.90;38.60
;;;;;-0.71;-0.90;-0.83;-4.10;-4.05;-134.81;-5.15;-35.39
468;1;3.800;-1.000;-4.113;4.51;1.30;2.03;0.74;4.30;382.12;22.76;36.20
;;;;;-0.76;-0.75;-0.61;-2.25;-3.84;-113.39;-12.99;-28.38
469;1;3.800;-1.400;-4.117;5.22;1.63;2.07;1.71;6.16;392.49;24.00;68.25
;;;;;-1.02;-0.60;-0.54;-1.26;-3.50;60.34;-20.82;-21.70
470;1;3.800;-1.800;-4.122;5.47;1.81;1.93;1.81;7.28;408.16;25.53;116.72
;;;;;-1.24;-0.45;-0.57;-0.69;-3.08;54.63;-18.24;-14.97
471;1;3.800;-2.200;-4.128;5.05;1.82;1.66;6.38;8.06;444.61;30.28;163.73
;;;;;-1.32;-0.35;-0.55;-0.85;-2.66;40.86;-12.23;-19.87
472;1;3.800;-2.600;-4.133;3.65;1.68;1.03;11.91;10.92;503.75;37.74;179.48
;;;;;-5.92;-0.35;-0.47;-1.74;-2.06;30.50;-89.52;-25.50
473;1;3.800;-3.000;-4.137;1.48;0.72;1.10;9.53;16.78;561.17;62.32;193.62
;;;;;-11.66;-0.30;-3.68;-1.64;-2.85;-51.09;-451.22;-35.61
474;1;3.800;-3.400;-4.142;1.52;0.72;1.23;6.01;16.10;524.50;154.68;383.07
;;;;;-10.11;-3.79;-10.08;-8.61;-2.81;-61.24;-1108.24;-53.04
475;1;3.800;-3.800;-4.148;7.89;1.92;0.63;3.52;1.53;304.65;129.41;985.33
;;;;;-3.19;-14.83;-4.51;-25.11;-10.15;-698.86;-871.36;-136.81
476;1;0.050;0.050;-3.175;-11.07;176.82;14.76;98.14;260.17;295.64;-183.26;98.45
;;;;;-41.26;-62.69;-35.10;-55.69;-359.16;-304.32;-612.26;-58.59
477;1;0.050;0.150;-3.200;14.90;43.00;5.47;122.91;142.02;136.04;-114.70;153.58
;;;;;-23.91;-23.72;-24.68;-114.60;-212.16;-264.73;-423.27;39.95
478;1;0.050;0.250;-3.224;14.56;23.24;4.31;97.33;69.47;118.33;-101.73;140.51
;;;;;-16.21;-13.84;-11.02;-70.62;-136.47;-231.70;-318.13;37.59
479;1;0.050;0.350;-3.249;12.67;16.86;4.36;83.91;40.54;111.93;-98.08;128.86
;;;;;-10.88;-9.40;-6.02;-48.32;-91.41;-201.89;-273.79;39.30
480;1;0.050;0.450;-3.274;9.71;13.03;4.37;69.15;38.72;102.71;-96.05;120.20
;;;;;-6.75;-6.42;-4.03;-36.24;-67.14;-178.32;-254.78;41.05
481;1;0.050;0.550;-3.298;7.46;10.56;4.06;54.11;37.16;90.46;-91.19;114.74
;;;;;-4.39;-5.87;-3.29;-28.09;-52.53;-158.28;-241.88;41.54
482;1;0.050;0.650;-3.323;6.02;8.79;3.56;40.65;34.46;74.24;-84.47;109.41
;;;;;-4.10;-5.94;-2.86;-22.07;-42.31;-140.37;-230.49;41.01
483;1;0.050;0.750;-3.348;5.10;7.44;2.98;31.44;31.07;67.21;-78.51;102.68
;;;;;-3.84;-5.87;-2.55;-17.97;-34.21;-123.69;-219.24;39.60
484;1;0.050;0.850;-3.372;4.46;6.35;2.39;24.49;27.21;78.58;-73.51;94.67
;;;;;-3.55;-5.60;-2.27;-14.74;-27.28;-107.82;-207.45;37.47
485;1;0.050;0.950;-3.397;3.97;5.44;1.84;18.69;23.21;85.99;-69.05;86.53
;;;;;-3.23;-5.18;-2.00;-11.98;-21.23;-93.22;-194.81;34.82
486;1;0.050;1.050;-3.422;3.62;4.68;1.70;13.93;19.40;89.67;77.78;80.40
;;;;;-2.92;-4.65;-1.75;-9.62;-16.19;-81.06;-181.28;-34.12
487;1;0.050;1.150;-3.446;3.34;4.07;1.71;10.30;15.88;90.04;84.24;74.54
;;;;;-2.61;-4.09;-1.51;-7.79;-12.14;-69.53;-166.70;-35.24
488;1;0.050;1.250;-3.471;3.11;3.62;1.69;7.64;12.46;87.34;86.66;68.93
;;;;;-2.29;-3.57;-1.30;-9.24;-8.60;-58.73;-150.90;-34.78
489;1;0.050;1.350;-3.496;2.72;3.04;1.54;6.05;8.76;81.65;84.25;63.82
;;;;;-1.87;-2.91;-1.06;-11.14;-5.04;-57.60;-134.82;-32.81
490;1;0.050;1.450;-3.520;2.49;2.56;1.41;5.81;3.92;74.47;77.92;59.76
;;;;;-1.58;-2.33;-0.88;-10.19;-3.48;-61.75;-119.47;-29.64
491;1;0.050;1.550;-3.545;2.52;2.36;1.42;3.53;1.23;65.91;68.53;57.35
;;;;;-1.45;-2.03;-0.80;-8.14;-4.47;-66.99;-105.27;-25.38
492;1;0.050;1.650;-3.570;2.36;2.08;1.34;3.39;1.39;55.46;55.15;61.00
;;;;;-1.22;-1.70;-0.69;-6.86;-5.73;-72.00;-96.03;-19.36
493;1;0.050;1.750;-3.595;2.33;1.93;1.33;3.16;2.73;43.89;37.42;70.61
;;;;;-1.08;-1.48;-0.71;-5.44;-6.96;-76.51;-104.76;-18.63
494;1;0.050;1.850;-3.619;2.36;1.80;1.33;3.25;3.35;31.14;-25.85;81.23
;;;;;-1.11;-1.31;-0.74;-3.76;-7.97;-80.74;-121.69;-26.47
495;1;0.050;1.950;-3.644;2.38;1.69;1.33;3.61;3.38;32.92;-24.30;92.79
;;;;;-1.56;-1.17;-0.83;-2.36;-9.14;-84.03;-141.55;-34.39
496;1;0.150;0.050;-3.200;5.25;45.75;20.02;115.56;140.16;75.49;-81.42;61.44
;;;;;-25.61;-32.64;-7.14;-89.76;-95.57;-254.03;-437.32;-115.93
497;1;0.150;0.150;-3.224;11.39;44.13;4.07;30.08;100.50;100.38;-74.66;116.96
;;;;;-22.49;-18.05;-4.17;-61.24;-103.19;-188.73;-390.62;-52.20
498;1;0.150;0.250;-3.248;15.20;27.76;3.74;26.23;56.18;104.39;-77.33;133.23
;;;;;-16.37;-11.53;-5.45;-39.28;-56.26;-175.21;-326.71;-27.43
499;1;0.150;0.350;-3.272;13.48;19.59;3.43;21.81;30.30;97.00;86.28;127.47
;;;;;-11.03;-8.10;-3.72;-27.63;-28.50;-154.69;-279.80;-15.88
500;1;0.150;0.450;-3.296;10.80;15.60;3.20;19.58;17.75;86.10;99.54;117.34
;;;;;-7.46;-8.42;-2.68;-22.82;-18.99;-135.18;-256.09;20.18
501;1;0.150;0.550;-3.320;8.31;12.91;2.88;18.82;11.92;71.72;103.09;107.81
;;;;;-5.71;-8.18;-2.25;-18.46;-13.19;-117.10;-245.25;22.45
502;1;0.150;0.650;-3.344;6.55;10.95;2.49;18.19;8.53;58.12;99.81;98.81
;;;;;-4.73;-7.76;-1.99;-15.37;-9.67;-100.20;-235.95;22.34
503;1;0.150;0.750;-3.368;5.22;9.37;2.06;17.25;6.54;69.16;91.70;90.68
;;;;;-3.96;-7.21;-1.80;-13.08;-7.35;-84.77;-226.60;21.65
504;1;0.150;0.850;-3.392;4.19;8.03;1.64;15.92;5.12;76.15;80.44;83.56
;;;;;-3.31;-6.58;-1.64;-13.44;-5.64;-73.86;-216.58;20.52
505;1;0.150;0.950;-3.416;3.38;6.84;1.27;14.28;4.00;79.46;67.31;77.54
;;;;;-2.73;-5.86;-1.49;-14.26;-4.28;-63.81;-205.59;19.11
506;1;0.150;1.050;-3.440;2.77;5.78;1.35;12.40;4.27;79.47;-54.48;72.58
;;;;;-2.23;-5.10;-1.35;-14.01;-3.25;-54.65;-193.68;17.57
507;1;0.150;1.150;-3.464;2.38;4.95;1.41;10.26;5.02;76.71;59.17;68.64
;;;;;-1.87;-4.41;-1.23;-12.78;-2.63;-60.22;-181.23;16.03
508;1;0.150;1.250;-3.488;2.14;4.36;1.45;7.93;5.58;71.28;66.47;65.39
;;;;;-1.61;-3.89;-1.13;-11.23;-3.33;-65.88;-168.10;14.53
509;1;0.150;1.350;-3.512;1.92;3.68;1.41;7.27;3.76;64.23;70.25;63.04
;;;;;-1.36;-3.27;-1.01;-10.02;-2.57;-71.15;-154.25;13.16
510;1;0.150;1.450;-3.536;1.95;3.13;1.43;6.58;1.98;56.14;70.59;61.02
;;;;;-1.30;-2.71;-0.94;-9.19;-3.26;-77.50;-139.44;-11.74
511;1;0.150;1.550;-3.560;1.96;2.58;1.36;4.45;1.75;45.23;66.78;60.53
;;;;;-1.21;-2.17;-0.84;-7.81;-3.20;-83.35;-124.22;-18.51
512;1;0.150;1.650;-3.585;1.92;2.13;1.26;3.13;0.76;40.39;59.59;69.23
;;;;;-1.10;-1.73;-0.75;-5.36;-3.35;-89.03;-111.99;-25.12
513;1;0.150;1.750;-3.609;2.07;1.90;1.28;3.81;1.56;44.28;49.52;79.27
;;;;;-1.11;-1.49;-0.73;-3.24;-3.64;-95.23;-101.31;-31.75
514;1;0.150;1.850;-3.633;2.23;1.72;1.29;4.58;1.56;47.49;35.61;90.42
;;;;;-1.14;-1.31;-0.74;-2.16;-4.26;-100.62;-104.76;-38.41
515;1;0.150;1.950;-3.657;2.33;1.55;1.27;5.31;1.40;49.70;-34.07;102.18
;;;;;-1.13;-1.24;-0.77;-2.51;-5.07;-103.43;-117.35;-45.02
516;1;0.250;0.050;-3.224;6.42;22.91;7.63;70.33;108.41;88.90;-46.94;67.57
;;;;;-20.10;-21.84;-3.16;-65.48;-31.75;-216.97;-364.91;-108.02
517;1;0.250;0.150;-3.248;11.58;28.00;4.46;30.42;54.74;90.32;-41.19;104.70
;;;;;-20.49;-14.11;-2.03;-53.77;-54.93;-166.09;-351.29;-78.97
518;1;0.250;0.250;-3.271;11.93;22.48;3.20;15.59;39.56;95.19;59.50;115.31
;;;;;-14.02;-9.88;-2.62;-33.52;-46.97;-136.62;-313.50;-45.67
519;1;0.250;0.350;-3.295;10.44;17.74;2.72;13.91;25.04;86.72;86.48;115.99
;;;;;-9.23;-8.73;-2.16;-20.43;-30.97;-115.10;-283.86;-28.94
520;1;0.250;0.450;-3.318;8.29;14.41;2.36;16.53;15.63;72.88;102.27;110.38
;;;;;-6.24;-8.07;-1.66;-15.31;-19.47;-96.86;-262.65;-16.78
521;1;0.250;0.550;-3.341;6.25;12.07;2.03;17.08;9.98;56.32;109.31;102.38
;;;;;-4.18;-7.47;-1.32;-13.72;-13.20;-80.28;-251.26;-9.48
522;1;0.250;0.650;-3.365;4.60;10.31;1.70;16.07;6.65;61.03;109.74;94.18
;;;;;-2.86;-6.89;-1.19;-12.80;-9.43;-68.90;-242.09;7.64
523;1;0.250;0.750;-3.388;3.37;8.90;1.39;14.36;4.88;68.02;105.30;86.56
;;;;;-2.07;-6.33;-1.11;-12.44;-6.71;-59.51;-233.53;8.17
524;1;0.250;0.850;-3.412;2.51;7.69;1.10;12.41;3.69;71.34;97.39;79.96
;;;;;-1.58;-5.75;-1.05;-11.96;-4.75;-51.62;-224.72;8.21
525;1;0.250;0.950;-3.435;1.90;6.64;0.92;10.52;2.80;71.50;87.17;74.44
;;;;;-1.24;-5.18;-1.01;-11.15;-3.49;-55.34;-215.34;7.89
526;1;0.250;1.050;-3.459;1.47;5.70;1.03;8.98;2.98;68.98;75.65;70.07
;;;;;-1.01;-4.58;-0.97;-10.18;-2.85;-63.51;-205.35;7.45
527;1;0.250;1.150;-3.482;1.22;4.93;1.11;7.44;3.78;63.94;63.66;66.48
;;;;;-0.87;-4.04;-0.93;-9.36;-2.49;-70.51;-194.54;7.01
528;1;0.250;1.250;-3.505;1.11;4.17;1.15;5.75;2.73;56.81;53.73;63.98
;;;;;-0.75;-3.47;-0.88;-7.75;-2.38;-76.44;-183.01;-8.67
529;1;0.250;1.350;-3.529;1.18;3.64;1.23;4.70;0.69;48.73;61.59;61.69
;;;;;-0.78;-3.05;-0.87;-6.36;-2.96;-83.31;-171.61;-16.08
530;1;0.250;1.450;-3.552;1.33;3.12;1.28;4.05;1.27;49.30;66.45;60.54
;;;;;-0.86;-2.61;-0.87;-5.98;-3.12;-90.70;-159.49;-23.12
531;1;0.250;1.550;-3.576;1.46;2.61;1.25;3.24;1.90;53.14;67.88;62.38
;;;;;-0.93;-2.17;-0.85;-5.39;-3.22;-97.93;-146.80;-29.80
532;1;0.250;1.650;-3.599;1.63;2.14;1.21;2.51;2.86;56.55;66.29;71.48
;;;;;-1.02;-1.77;-0.82;-4.69;-3.38;-105.60;-134.16;-36.17
533;1;0.250;1.750;-3.623;1.85;1.79;1.20;3.29;2.62;59.42;61.80;81.54
;;;;;-1.13;-1.46;-0.80;-3.68;-3.52;-112.42;-121.87;-42.29
534;1;0.250;1.850;-3.646;2.04;1.53;1.17;4.29;2.18;61.38;54.49;92.41
;;;;;-1.21;-1.24;-0.78;-2.61;-3.86;-117.00;-110.23;-48.28
535;1;0.250;1.950;-3.670;2.20;1.31;1.14;5.16;1.90;62.38;44.28;103.74
;;;;;-1.26;-1.54;-0.74;-1.81;-4.40;-118.42;-99.33;-54.21
536;1;0.350;0.050;-3.249;5.94;15.64;4.47;59.05;83.57;98.37;-31.96;70.00
;;;;;-16.34;-14.56;-1.67;-58.37;-18.82;-188.34;-324.23;-105.71
537;1;0.350;0.150;-3.272;8.76;19.37;3.43;28.06;34.99;89.73;28.41;95.16
;;;;;-16.42;-11.77;-1.81;-38.13;-24.84;-144.01;-316.50;-83.57
538;1;0.350;0.250;-3.295;8.44;17.62;2.60;12.53;24.66;89.43;62.94;104.14
;;;;;-11.42;-9.27;-1.64;-22.68;-30.43;-109.97;-297.68;-59.07
539;1;0.350;0.350;-3.317;7.13;14.82;2.07;6.21;17.61;77.96;87.90;102.50
;;;;;-7.22;-7.82;-1.28;-14.17;-22.62;-87.32;-278.31;-37.10
540;1;0.350;0.450;-3.340;5.56;12.52;1.69;7.03;11.84;61.77;103.86;98.60
;;;;;-4.94;-6.98;-0.90;-11.51;-14.77;-71.38;-262.04;-25.36
541;1;0.350;0.550;-3.363;4.14;10.73;1.39;9.29;7.87;54.27;112.26;93.10
;;;;;-3.35;-6.37;-0.78;-10.23;-9.37;-59.46;-250.50;-16.38
542;1;0.350;0.650;-3.386;3.05;9.33;1.13;9.47;5.26;61.90;114.66;86.51
;;;;;-2.31;-5.87;-0.71;-9.50;-6.57;-50.27;-242.69;-9.83
543;1;0.350;0.750;-3.409;2.24;8.15;0.91;8.70;3.68;65.64;112.42;80.10
;;;;;-1.61;-5.43;-0.68;-8.85;-4.58;-43.11;-235.27;-5.08
544;1;0.350;0.850;-3.431;1.68;7.16;0.73;7.65;2.71;66.21;106.77;74.45
;;;;;-1.12;-5.01;-0.67;-8.14;-3.37;-53.67;-227.75;-2.79
545;1;0.350;0.950;-3.454;1.31;6.26;0.70;6.63;2.00;64.08;98.78;69.83
;;;;;-0.80;-4.57;-0.68;-7.38;-2.76;-63.02;-219.99;1.41
546;1;0.350;1.050;-3.477;1.07;5.48;0.81;5.85;2.48;59.52;89.25;65.98
;;;;;-0.58;-4.15;-0.69;-7.05;-2.41;-71.12;-211.56;-2.94
547;1;0.350;1.150;-3.500;0.88;4.63;0.88;5.01;1.48;52.93;78.73;63.44
;;;;;-0.42;-3.61;-0.69;-6.19;-2.49;-78.12;-202.07;-9.11
548;1;0.350;1.250;-3.523;0.81;4.01;0.97;4.00;1.18;56.56;68.40;61.26
;;;;;-0.36;-3.20;-0.72;-4.95;-3.03;-85.68;-192.83;-16.46
549;1;0.350;1.350;-3.545;0.77;3.46;1.05;3.10;1.86;60.88;58.50;59.90
;;;;;-0.49;-2.82;-0.76;-4.36;-3.21;-93.92;-183.23;-23.68
550;1;0.350;1.450;-3.568;0.97;2.99;1.12;2.62;2.57;64.63;63.68;59.17
;;;;;-0.66;-2.48;-0.81;-4.12;-3.38;-102.34;-173.00;-30.65
551;1;0.350;1.550;-3.591;1.18;2.48;1.12;2.28;3.18;67.72;69.27;59.42
;;;;;-0.81;-2.09;-0.83;-3.92;-4.08;-110.95;-162.17;-37.39
552;1;0.350;1.650;-3.614;1.42;2.02;1.12;1.96;3.38;70.40;72.41;68.34
;;;;;-0.98;-1.74;-0.84;-3.70;-4.34;-119.23;-151.18;-43.71
553;1;0.350;1.750;-3.637;1.67;1.65;1.11;2.84;2.99;72.22;72.91;77.99
;;;;;-1.14;-1.44;-0.85;-3.41;-4.00;-125.53;-140.12;-49.63
554;1;0.350;1.850;-3.660;1.89;1.34;1.07;3.84;2.50;72.95;71.06;88.31
;;;;;-1.26;-1.40;-0.83;-2.89;-3.66;-128.73;-129.14;-55.23
555;1;0.350;1.950;-3.682;2.07;1.08;1.02;4.82;2.05;72.62;66.91;98.91
;;;;;-1.35;-1.82;-0.79;-2.32;-4.02;-127.90;-118.33;-60.47
556;1;0.450;0.050;-3.274;4.74;11.68;3.38;58.93;65.30;94.29;-22.14;69.51
;;;;;-12.27;-9.55;-1.98;-45.93;-12.88;-163.87;-284.85;-105.19
